,Males,Females,Diff
E06000045,127000,117900,0.037158024
E08000003,270500,251100,0.037193252
E09000005,167400,155000,0.038461538
E09000018,137000,126800,0.038665656
E06000032,109800,101500,0.039280644
E06000039,76400,70400,0.040871935
E07000008,66500,61200,0.041503524
E09000033,117800,108100,0.042939354
E09000030,139800,123600,0.061503417
E06000053,1400,1200,0.076923077
E09000025,172600,147900,0.077067083
E07000166,28900,24700,0.078358209
E09000001,4300,3100,0.162162162
